workload,n,noise,seed,mode,cycles_to_thresh,final_fidelity
W6_6q,6,Z_kick_mid,18081796039093513279,SINGLE_BLOCK,5,0.8953926338793274
W6_6q,6,Z_kick_mid,18081796039093513279,PAIR_BLOCK,14,0.7253309547826822
W6_6q,6,Z_kick_mid,9788374725837751420,OFF,4,0.8477905861883491
W6_6q,6,Z_kick_mid,9788374725837751420,SINGLE_BLOCK,3,0.8912216773750772
W6_6q,6,Z_kick_mid,9788374725837751420,PAIR_BLOCK,14,0.6799885853394749
W6_6q,6,Z_kick_mid,6856104042854909791,OFF,6,0.7957241632435931
W6_6q,6,Z_kick_mid,6856104042854909791,SINGLE_BLOCK,7,0.898171204346862
W6_6q,6,Z_kick_mid,6856104042854909791,PAIR_BLOCK,16,0.024198732297683784
W6_6q,6,Z_kick_mid,12039307454430948308,OFF,4,0.8732303879180039
W6_6q,6,Z_kick_mid,12039307454430948308,SINGLE_BLOCK,4,0.8839569305456169
W6_6q,6,Z_kick_mid,12039307454430948308,PAIR_BLOCK,16,0.10122293859040324
W6_6q,6,Z_kick_mid,6024404883838289605,OFF,9,0.7961221362996841
W6_6q,6,Z_kick_mid,6024404883838289605,SINGLE_BLOCK,9,0.8142780714163106
W6_6q,6,Z_kick_mid,6024404883838289605,PAIR_BLOCK,14,0.8182074431558654
W6_6q,6,Z_kick_mid,8015158787531511283,OFF,6,0.8718380994748122
W6_6q,6,Z_kick_mid,8015158787531511283,SINGLE_BLOCK,14,0.8571097666228719
W6_6q,6,Z_kick_mid,8015158787531511283,PAIR_BLOCK,14,0.77126434326384
W6_6q,6,Z_kick_mid,9922104173616681467,OFF,19,0.8963682941794737
W6_6q,6,Z_kick_mid,9922104173616681467,SINGLE_BLOCK,14,0.894930028049787
W6_6q,6,Z_kick_mid,9922104173616681467,PAIR_BLOCK,14,0.8213600493611759
W6_6q,6,Z_kick_mid,3735909352703734165,OFF,7,0.8969780500030856
W6_6q,6,Z_kick_mid,3735909352703734165,SINGLE_BLOCK,15,0.8800718671898353
W6_6q,6,Z_kick_mid,3735909352703734165,PAIR_BLOCK,14,0.8257455379307208
W6_6q,6,Z_kick_mid,4066407972200538391,OFF,5,0.8834878983753242
W6_6q,6,Z_kick_mid,4066407972200538391,SINGLE_BLOCK,5,0.8979243994741946
W6_6q,6,Z_kick_mid,4066407972200538391,PAIR_BLOCK,14,0.44491151919236016
W6_6q,6,Z_kick_mid,8863467947124778225,OFF,3,0.8846001426421899
W6_6q,6,Z_kick_mid,8863467947124778225,SINGLE_BLOCK,13,0.8797514761064681
W6_6q,6,Z_kick_mid,8863467947124778225,PAIR_BLOCK,14,0.718010162522995
W6_6q,6,Z_kick_mid,1836665318984477140,OFF,10,0.8636294624046891
W6_6q,6,Z_kick_mid,1836665318984477140,SINGLE_BLOCK,15,0.851884407427941
W6_6q,6,Z_kick_mid,1836665318984477140,PAIR_BLOCK,14,0.8263892239714237
W6_6q,6,Z_kick_mid,8499170511849230762,OFF,9,0.7954051806799228
W6_6q,6,Z_kick_mid,8499170511849230762,SINGLE_BLOCK,9,0.8360961791776719
W6_6q,6,Z_kick_mid,8499170511849230762,PAIR_BLOCK,14,0.8242886985655391
W6_6q,6,Z_kick_mid,4446882987050417723,OFF,7,0.8864988903659614
W6_6q,6,Z_kick_mid,4446882987050417723,SINGLE_BLOCK,11,0.8801886457600687
